timestamp,epoch,interval,dstFlag,prc
2025-08-20 00:00:05-0500,1755666005000,00:00:05,N,8512
2025-08-20 00:00:13-0500,1755666013000,00:00:13,N,8512
2025-08-20 00:00:25-0500,1755666025000,00:00:25,N,8513
2025-08-20 00:00:33-0500,1755666033000,00:00:33,N,8506
2025-08-20 00:00:45-0500,1755666045000,00:00:45,N,8546
2025-08-20 00:00:53-0500,1755666053000,00:00:53,N,8546
2025-08-20 00:01:05-0500,1755666065000,00:01:05,N,8590
2025-08-20 00:01:13-0500,1755666073000,00:01:13,N,8590
2025-08-20 00:01:25-0500,1755666085000,00:01:25,N,8605
2025-08-20 00:01:33-0500,1755666093000,00:01:33,N,8629
2025-08-20 00:01:45-0500,1755666105000,00:01:45,N,8657
2025-08-20 00:01:53-0500,1755666113000,00:01:53,N,8680
2025-08-20 00:02:05-0500,1755666125000,00:02:05,N,8726
2025-08-20 00:02:13-0500,1755666133000,00:02:13,N,8726
2025-08-20 00:02:25-0500,1755666145000,00:02:25,N,8738
2025-08-20 00:02:33-0500,1755666153000,00:02:33,N,8746
2025-08-20 00:02:45-0500,1755666165000,00:02:45,N,8727
2025-08-20 00:02:53-0500,1755666173000,00:02:53,N,8738
2025-08-20 00:03:05-0500,1755666185000,00:03:05,N,8719
2025-08-20 00:03:13-0500,1755666193000,00:03:13,N,8719
2025-08-20 00:03:25-0500,1755666205000,00:03:25,N,8714
2025-08-20 00:03:33-0500,1755666213000,00:03:33,N,8713
2025-08-20 00:03:45-0500,1755666225000,00:03:45,N,8697
2025-08-20 00:03:53-0500,1755666233000,00:03:53,N,8683
2025-08-20 00:04:05-0500,1755666245000,00:04:05,N,8663
2025-08-20 00:04:13-0500,1755666253000,00:04:13,N,8663
2025-08-20 00:04:25-0500,1755666265000,00:04:25,N,8653
2025-08-20 00:04:33-0500,1755666273000,00:04:33,N,8632
2025-08-20 00:04:45-0500,1755666285000,00:04:45,N,8613
2025-08-20 00:04:53-0500,1755666293000,00:04:53,N,8601
2025-08-20 00:05:05-0500,1755666305000,00:05:05,N,8596
2025-08-20 00:05:13-0500,1755666313000,00:05:13,N,8596
2025-08-20 00:05:25-0500,1755666325000,00:05:25,N,8578
2025-08-20 00:05:33-0500,1755666333000,00:05:33,N,8592
2025-08-20 00:05:45-0500,1755666345000,00:05:45,N,8588
2025-08-20 00:05:53-0500,1755666353000,00:05:53,N,8588
2025-08-20 00:06:05-0500,1755666365000,00:06:05,N,8586
2025-08-20 00:06:13-0500,1755666373000,00:06:13,N,8581
2025-08-20 00:06:25-0500,1755666385000,00:06:25,N,8587
2025-08-20 00:06:33-0500,1755666393000,00:06:33,N,8591
2025-08-20 00:06:45-0500,1755666405000,00:06:45,N,8597
